,pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,pl_orbsmax,pl_insol,pl_orbeccen,st_teff,st_rad,tipo_planeta,x,y,cluster_kmeans,densidad_gcm3,habitable
2666,Kepler-1388 b,2.59,7.220000000000027,12.285460300000011,434.0,0.08819999999999995,17.673999999999978,0.0,4098.0,0.61,Sub-Neptuno,-1.3466401,-1.1166965,0.0,2.2897575736680786,False
2667,Kepler-1388 c,2.26,5.730000000000018,5.5360815100000025,566.0,0.0519,51.04399999999998,0.0,4098.0,0.61,Sub-Neptuno,-1.2273847,-0.26990595,0.0,2.73514845481002,False
2668,Kepler-1388 d,2.86,8.550000000000011,20.956815800000015,363.0,0.126,8.660000000000025,0.0,4098.0,0.61,Sub-Neptuno,-1.2718487,-1.3830628,0.0,2.0138151984452564,False
2669,Kepler-1388 e,2.46,6.6200000000000045,37.63270840000001,299.0,0.1861,3.9700000000000273,0.0,4098.0,0.61,Sub-Neptuno,-1.7005153,-1.4254965,0.0,2.450215410343675,False
2670,Kepler-1389 b,1.77,3.7799999999999727,99.2530951,300.0,0.38249,1.870999999999981,0.0,5078.0,0.74,Super-Tierra,-4.546575,-0.6705697,0.0,3.75598284147841,False
2671,Kepler-139 b,2.94,7.0,15.77104399999999,752.0,0.127,64.77999999999997,0.0,5594.0,1.3,Sub-Neptuno,-3.478892,4.3212805,0.0,1.5177758826238625,False
2672,Kepler-139 c,3.38,13.0,157.072878,350.0,0.586,3.0230000000000246,0.0,5594.0,1.3,Sub-Neptuno,-5.749956,0.2867003,0.0,1.8550039995367538,False
2673,Kepler-139 d,1.6950000000000003,2.0,7.305699922000002,972.0,0.0755533961,172.29999999999998,0.0,5622.0,1.045,Super-Tierra,-1.2434772,6.9713197,0.0,2.2629371224593187,False
2674,Kepler-139 e,13.7,378.0,2047.635373,140.91690968200794,3.23579639,0.11542000000002872,0.013120999999999994,5622.0,1.045,Gigante gaseoso,9.373845,1.0931916,0.0,0.8099938048179306,False
2675,Kepler-139 f,6.67,36.0,355.0,312.37855459424634,0.797868,4.533400000000086,0.01197999999999999,5630.0,1.045,Neptuniano,6.451797,2.8264914,0.0,0.668461805861296,False
2676,Kepler-1390 b,1.1799999999999997,1.759999999999991,6.480216729999995,934.0,0.06619999999999998,171.133,0.0,5753.0,0.98,Terrestre,-2.3321667,6.6844106,0.0,5.902258750894662,False
2677,Kepler-1391 b,1.6799999999999997,3.4599999999999795,54.40923329999998,513.0,0.30045,33.33499999999998,0.0,5840.0,1.1,Super-Tierra,-5.535395,2.0012057,0.0,4.0206831740632545,False
2678,Kepler-1392 b,1.96,4.5,15.141039699999993,714.0,0.1189,61.420000000000016,0.0,5479.0,0.85,Super-Tierra,-3.3412151,3.3618543,0.0,3.2930316024785595,False
2679,Kepler-1393 b,0.7999999999999998,0.4370000000000118,2.443578120000012,1249.0,0.03370000000000001,574.37,0.0,5697.0,0.92,Terrestre,0.29053307,9.650829,0.0,4.70287109375013,False
2680,Kepler-1394 b,1.3899999999999997,2.509999999999991,3.937663729999997,1947.0,0.05474000000000001,2023.005,0.0,6481.0,2.55,Super-Tierra,3.0897431,10.964637,0.0,5.149688023505925,False
2681,Kepler-1395 b,0.7999999999999998,0.4370000000000118,3.7847064899999907,1311.0,0.049740000000000006,730.531,0.0,6138.0,1.23,Terrestre,0.5311425,10.511145,0.0,4.70287109375013,False
2682,Kepler-1396 b,2.07,4.939999999999998,18.220642099999992,786.0,0.1406,71.81600000000009,0.0,6195.0,1.27,Sub-Neptuno,-4.4503508,5.64985,0.0,3.0687924103325193,False
2683,Kepler-1397 b,1.7199999999999998,3.6100000000000136,47.44995499999999,551.0,0.25861,58.10300000000001,0.0,6026.0,1.12,Super-Tierra,-5.6206036,2.555563,0.0,3.9090701133233714,False
2684,Kepler-1398 b,0.9000000000000004,0.6659999999999968,2.788156789999988,1510.0,0.039090000000000014,1249.488,0.0,6126.0,1.18,Terrestre,1.841131,10.699604,0.0,5.0338271604937965,False
2685,Kepler-1398 c,1.0300000000000002,1.079999999999984,4.138275950000008,1324.0,0.050870000000000026,738.183,0.0,6126.0,1.18,Terrestre,0.5558156,10.528358,0.0,5.445824986478697,False
2686,Kepler-1399 b,1.25,2.1000000000000227,1.6386530579999885,1610.0,0.027600000000000013,1707.252,0.0,5735.0,0.96,Super-Tierra,2.5108895,10.762042,0.0,5.924352000000065,False
2687,Kepler-14 b,12.733,2669.66,6.790122999999994,1605.0,0.0771,1029.51,0.035,6395.0,2.048,Gigante gaseoso,9.667781,4.7955194,0.0,7.1254998626317025,False
2688,Kepler-140 b,1.6099999999999999,3.2200000000000273,3.254269999999991,1301.0,0.044999999999999984,848.695,0.0,6077.0,1.288,Super-Tierra,0.6488828,10.538877,0.0,4.2513791906176825,False
2689,Kepler-140 c,1.7999999999999998,3.8899999999999864,91.35328199999998,428.0,0.414,9.956999999999994,0.0,6077.0,1.288,Super-Tierra,-6.1359243,1.3034072,0.0,3.6752229080932666,False
2690,Kepler-1400 b,1.62,3.259999999999991,9.066894209999987,725.0,0.0771,44.516999999999996,0.0,5044.0,0.78,Super-Tierra,-1.8505887,2.5253193,0.0,4.2249751148292916,False
2691,Kepler-1401 b,1.6799999999999997,3.4599999999999795,11.200664450000005,808.0,0.09750000000000003,100.90999999999997,0.0,5964.0,1.1,Super-Tierra,-3.5048811,5.715388,0.0,4.0206831740632545,False
2692,Kepler-1402 b,0.7599999999999998,0.36299999999999955,2.0338791400000105,1789.0,0.032200000000000006,2491.119,0.0,5416.0,0.87,Terrestre,3.4581838,10.847153,0.0,4.556353878116341,False
2693,Kepler-1403 b,2.14,5.220000000000027,5.194922020000007,1238.0,0.064,699.644,0.0,6060.0,1.15,Sub-Neptuno,-0.059694678,10.131327,0.0,2.934815349338773,False
2694,Kepler-1404 b,2.01,4.699999999999989,15.931473900000015,596.0,0.11430000000000001,39.000999999999976,0.0,5261.0,0.8,Sub-Neptuno,-3.098514,1.3747857,0.0,3.189049677480761,False
2695,Kepler-1405 b,3.96,14.899999999999977,28.227418400000005,565.0,0.1778,33.80200000000002,0.0,5925.0,1.07,Sub-Neptuno,-5.633595,2.4966328,0.0,1.3220634824935387,False
2696,Kepler-1406 b,1.0999999999999996,1.3700000000000045,11.62905828000001,854.0,0.09870000000000001,125.88999999999999,0.0,5892.0,1.12,Terrestre,-2.8875306,6.264009,0.0,5.671450037565764,False
2697,Kepler-1407 b,2.25,5.689999999999998,20.071150399999993,826.0,0.1502,78.66700000000009,0.0,6010.0,1.15,Sub-Neptuno,-3.6767468,6.0791197,0.0,2.7524301783264735,False
2698,Kepler-1408 b,0.8899999999999997,0.6399999999999864,2.9979319100000055,1616.0,0.042179999999999995,1982.268,0.0,6170.0,1.35,Terrestre,2.9556844,11.012155,0.0,5.002205770750101,False
2699,Kepler-1409 b,1.04,1.1200000000000045,0.7648649260000013,1733.0,0.015529999999999988,1552.1330000000003,0.0,5160.0,0.79,Terrestre,2.6561272,10.496861,0.0,5.486174328629971,False
2700,Kepler-141 b,0.6899999999999995,0.257000000000005,3.1076750000000004,968.0,0.03899999999999998,228.66299999999998,0.0,4910.0,0.787,Terrestre,0.31074873,6.6781826,0.0,4.310597274351785,False
2701,Kepler-141 c,1.4100000000000001,2.569999999999993,7.010605999999996,738.0,0.067,77.41200000000003,0.0,4910.0,0.787,Super-Tierra,-1.5427628,2.43838,0.0,5.0515817340123945,False
